ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
Files already downloaded and verified
Files already downloaded and verified
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 0	Top1 Train accuracy 42.04733657836914	Top1 Test accuracy: 70.15380859375	Top5 test acc: 95.41748046875
Epoch 1	Top1 Train accuracy 72.54021453857422	Top1 Test accuracy: 74.677734375	Top5 test acc: 97.080078125
Epoch 2	Top1 Train accuracy 74.91383361816406	Top1 Test accuracy: 75.380859375	Top5 test acc: 97.61962890625
Epoch 3	Top1 Train accuracy 75.55606842041016	Top1 Test accuracy: 75.6103515625	Top5 test acc: 97.94921875
Epoch 4	Top1 Train accuracy 75.82720184326172	Top1 Test accuracy: 75.75927734375	Top5 test acc: 98.11279296875
Epoch 5	Top1 Train accuracy 76.13970184326172	Top1 Test accuracy: 75.90576171875	Top5 test acc: 98.3203125
Epoch 6	Top1 Train accuracy 76.19829559326172	Top1 Test accuracy: 75.93994140625	Top5 test acc: 98.43017578125
Epoch 7	Top1 Train accuracy 76.23735809326172	Top1 Test accuracy: 76.1669921875	Top5 test acc: 98.43017578125
Epoch 8	Top1 Train accuracy 76.43038177490234	Top1 Test accuracy: 76.1669921875	Top5 test acc: 98.4130859375
Epoch 9	Top1 Train accuracy 76.5452651977539	Top1 Test accuracy: 76.26953125	Top5 test acc: 98.44482421875
Epoch 10	Top1 Train accuracy 76.7796401977539	Top1 Test accuracy: 76.5478515625	Top5 test acc: 98.46923828125
Epoch 11	Top1 Train accuracy 76.88188934326172	Top1 Test accuracy: 76.60888671875	Top5 test acc: 98.486328125
Epoch 12	Top1 Train accuracy 77.11397552490234	Top1 Test accuracy: 76.70654296875	Top5 test acc: 98.486328125
Epoch 13	Top1 Train accuracy 77.11626434326172	Top1 Test accuracy: 76.84814453125	Top5 test acc: 98.5107421875
Epoch 14	Top1 Train accuracy 77.13579559326172	Top1 Test accuracy: 76.84814453125	Top5 test acc: 98.53515625
Epoch 15	Top1 Train accuracy 77.21392059326172	Top1 Test accuracy: 76.94580078125	Top5 test acc: 98.54248046875
Epoch 16	Top1 Train accuracy 77.27251434326172	Top1 Test accuracy: 77.060546875	Top5 test acc: 98.5791015625
Epoch 17	Top1 Train accuracy 77.40923309326172	Top1 Test accuracy: 77.109375	Top5 test acc: 98.5986328125
Epoch 18	Top1 Train accuracy 77.44829559326172	Top1 Test accuracy: 77.119140625	Top5 test acc: 98.6181640625
Epoch 19	Top1 Train accuracy 77.50688934326172	Top1 Test accuracy: 77.1875	Top5 test acc: 98.6181640625
Epoch 20	Top1 Train accuracy 77.58272552490234	Top1 Test accuracy: 77.255859375	Top5 test acc: 98.6376953125
Epoch 21	Top1 Train accuracy 77.6390151977539	Top1 Test accuracy: 77.29248046875	Top5 test acc: 98.62548828125
Epoch 22	Top1 Train accuracy 77.6585464477539	Top1 Test accuracy: 77.353515625	Top5 test acc: 98.62548828125
Epoch 23	Top1 Train accuracy 77.6585464477539	Top1 Test accuracy: 77.373046875	Top5 test acc: 98.6376953125
Epoch 24	Top1 Train accuracy 77.6976089477539	Top1 Test accuracy: 77.38525390625	Top5 test acc: 98.6376953125
Epoch 25	Top1 Train accuracy 77.7757339477539	Top1 Test accuracy: 77.4169921875	Top5 test acc: 98.61328125
Epoch 26	Top1 Train accuracy 77.8515625	Top1 Test accuracy: 77.47314453125	Top5 test acc: 98.6376953125
