ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 0	Top1 Train accuracy 21.46286392211914	Top1 Test accuracy: 23.92578125	Top5 test acc: 70.2734375
Epoch 1	Top1 Train accuracy 23.38468360900879	Top1 Test accuracy: 24.12109375	Top5 test acc: 71.25
Epoch 2	Top1 Train accuracy 23.768835067749023	Top1 Test accuracy: 24.51171875	Top5 test acc: 71.8359375
Epoch 3	Top1 Train accuracy 24.117267608642578	Top1 Test accuracy: 24.8046875	Top5 test acc: 72.08984375
Epoch 4	Top1 Train accuracy 24.3442325592041	Top1 Test accuracy: 24.609375	Top5 test acc: 72.5390625
Epoch 5	Top1 Train accuracy 24.594669342041016	Top1 Test accuracy: 25.09765625	Top5 test acc: 72.44140625
Epoch 6	Top1 Train accuracy 24.8627986907959	Top1 Test accuracy: 24.90234375	Top5 test acc: 72.44140625
Epoch 7	Top1 Train accuracy 25.047903060913086	Top1 Test accuracy: 25.0	Top5 test acc: 72.79296875
Epoch 8	Top1 Train accuracy 25.27519989013672	Top1 Test accuracy: 25.29296875	Top5 test acc: 72.98828125
Epoch 9	Top1 Train accuracy 25.449417114257812	Top1 Test accuracy: 25.09765625	Top5 test acc: 73.37890625
Epoch 10	Top1 Train accuracy 25.60321617126465	Top1 Test accuracy: 25.5859375	Top5 test acc: 73.0859375
Epoch 11	Top1 Train accuracy 25.729795455932617	Top1 Test accuracy: 25.5859375	Top5 test acc: 73.28125
Epoch 12	Top1 Train accuracy 25.88495635986328	Top1 Test accuracy: 25.9375	Top5 test acc: 73.37890625
Epoch 13	Top1 Train accuracy 26.055089950561523	Top1 Test accuracy: 25.9375	Top5 test acc: 73.22265625
Epoch 14	Top1 Train accuracy 26.198331832885742	Top1 Test accuracy: 26.1328125	Top5 test acc: 73.41796875
Epoch 15	Top1 Train accuracy 26.33035659790039	Top1 Test accuracy: 26.62109375	Top5 test acc: 73.515625
Epoch 16	Top1 Train accuracy 26.46918487548828	Top1 Test accuracy: 26.81640625	Top5 test acc: 73.80859375
Epoch 17	Top1 Train accuracy 26.584875106811523	Top1 Test accuracy: 26.81640625	Top5 test acc: 73.90625
Epoch 18	Top1 Train accuracy 26.70192527770996	Top1 Test accuracy: 26.62109375	Top5 test acc: 74.19921875
Epoch 19	Top1 Train accuracy 26.802644729614258	Top1 Test accuracy: 26.62109375	Top5 test acc: 74.296875
Epoch 20	Top1 Train accuracy 26.919696807861328	Top1 Test accuracy: 26.6796875	Top5 test acc: 74.296875
Epoch 21	Top1 Train accuracy 27.038108825683594	Top1 Test accuracy: 26.77734375	Top5 test acc: 74.39453125
Epoch 22	Top1 Train accuracy 27.132020950317383	Top1 Test accuracy: 26.77734375	Top5 test acc: 74.39453125
Epoch 23	Top1 Train accuracy 27.202796936035156	Top1 Test accuracy: 26.77734375	Top5 test acc: 74.4921875
Epoch 24	Top1 Train accuracy 27.270849227905273	Top1 Test accuracy: 26.81640625	Top5 test acc: 74.4921875
Epoch 25	Top1 Train accuracy 27.348430633544922	Top1 Test accuracy: 26.9140625	Top5 test acc: 74.6875
Epoch 26	Top1 Train accuracy 27.40695571899414	Top1 Test accuracy: 27.01171875	Top5 test acc: 74.78515625
Epoch 27	Top1 Train accuracy 27.47092628479004	Top1 Test accuracy: 26.85546875	Top5 test acc: 74.78515625
Epoch 28	Top1 Train accuracy 27.531145095825195	Top1 Test accuracy: 26.7578125	Top5 test acc: 74.8828125
Epoch 29	Top1 Train accuracy 27.612808227539062	Top1 Test accuracy: 26.7578125	Top5 test acc: 74.8828125
Epoch 30	Top1 Train accuracy 27.675416946411133	Top1 Test accuracy: 26.85546875	Top5 test acc: 74.98046875
Epoch 31	Top1 Train accuracy 27.709444046020508	Top1 Test accuracy: 26.85546875	Top5 test acc: 74.78515625
Epoch 32	Top1 Train accuracy 27.764217376708984	Top1 Test accuracy: 26.953125	Top5 test acc: 74.78515625
Epoch 33	Top1 Train accuracy 27.80232810974121	Top1 Test accuracy: 27.1484375	Top5 test acc: 74.6875
Epoch 34	Top1 Train accuracy 27.873104095458984	Top1 Test accuracy: 27.1484375	Top5 test acc: 74.6875
Epoch 35	Top1 Train accuracy 27.9329891204834	Top1 Test accuracy: 27.34375	Top5 test acc: 74.8828125
Epoch 36	Top1 Train accuracy 27.976543426513672	Top1 Test accuracy: 27.34375	Top5 test acc: 74.8828125
Epoch 37	Top1 Train accuracy 28.0146541595459	Top1 Test accuracy: 27.34375	Top5 test acc: 74.8828125
Epoch 38	Top1 Train accuracy 28.060930252075195	Top1 Test accuracy: 27.44140625	Top5 test acc: 75.078125
Epoch 39	Top1 Train accuracy 28.10448455810547	Top1 Test accuracy: 27.63671875	Top5 test acc: 75.17578125
Epoch 40	Top1 Train accuracy 28.158926010131836	Top1 Test accuracy: 27.63671875	Top5 test acc: 75.078125
Epoch 41	Top1 Train accuracy 28.19295310974121	Top1 Test accuracy: 27.5390625	Top5 test acc: 75.078125
Epoch 42	Top1 Train accuracy 28.225618362426758	Top1 Test accuracy: 27.5390625	Top5 test acc: 75.17578125
Epoch 43	Top1 Train accuracy 28.28278350830078	Top1 Test accuracy: 27.63671875	Top5 test acc: 75.17578125
Epoch 44	Top1 Train accuracy 28.324975967407227	Top1 Test accuracy: 27.734375	Top5 test acc: 75.17578125
Epoch 45	Top1 Train accuracy 28.3590030670166	Top1 Test accuracy: 27.734375	Top5 test acc: 75.17578125
Epoch 46	Top1 Train accuracy 28.411056518554688	Top1 Test accuracy: 27.83203125	Top5 test acc: 75.2734375
Epoch 47	Top1 Train accuracy 28.479108810424805	Top1 Test accuracy: 27.9296875	Top5 test acc: 75.37109375
Epoch 48	Top1 Train accuracy 28.522994995117188	Top1 Test accuracy: 28.02734375	Top5 test acc: 75.46875
Epoch 49	Top1 Train accuracy 28.561105728149414	Top1 Test accuracy: 28.02734375	Top5 test acc: 75.6640625
Epoch 50	Top1 Train accuracy 28.606019973754883	Top1 Test accuracy: 28.02734375	Top5 test acc: 75.56640625
Epoch 51	Top1 Train accuracy 28.65637969970703	Top1 Test accuracy: 28.02734375	Top5 test acc: 75.56640625
